Box,Strain,Date,Name,Genus,species,Strain Synonym,
7,BR76,5/24/19,,H.,erin,,
8,PLP847_2018_217,12/7/18,BRR,,,,
8,shiitake,3/3/19,BRR,L.,edodes,,
8,40#1,12/7/18,BRR,Ganoderma,,,
8,,,,G,frondosa,,
8,,12/26/18,Chris,L.,indigo,,
8,white unknown polypore,12/7/18,BRR,,,,
8,mmh 118,12/26/18,BRR,,,,
8,4380,12/6/18,BRR,,,,
8,nico's big truffle,1/16/19,BRR,,,,
8,,12/7/18,BRR,M,syzygutes,,
8,4380,12/6/18,BRR,,,,
8,3067,12/6/18,BRR,,,,
8,Nico's big truffle,1/16/19,BRR,,,,
8,Nikki's tuber,11/27,BRR,T,texensis,,
8,Nikki's tuber,11/27,BRR,T,texensis,,
8,GB-CH145,10/31/18,BRR,,,,
8,Chris '17,12/26/18,BRR,L,indigo,,
8,meijer enoki,2/4/19,BRR,,,,
8,,12/7/18,BRR,Laetiporus,cincinnatus,,
8,,12/7/18,BRR,Armillariam,mellea,,
8,JUD',2/5/19,BRR,P,ery,,
8,JUD',2/5/19,BRR,P,cit,,
8,GMNB150,7/7/17,BRR,T,canalic,,
8,mmh118,10/31/18,BRR,,,,
8,GB-ch 147,10/31/18,BRR,,,,
8,GMNB150,7/7/18,BRR,T,canalic,,
8,Nikki's Tuber,1/16/19,BRR,,,,
8,4380,12/6/18,BRR,,,,
8,GMNB 230,1/16/19,BRR,,,,
8,4380,12/6/18,BRR,,,,
8,3067,12/6/18,BRR,,,,
8,Jud',2/5/19,BRR,P.,cit,,
